Cereal Name,Manufacturer,Type,Number,Year,Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
Документ,Quaker Oats,C,1,1992,1,130,10,5,6,3,280,25,1,0.33
Документ,Quaker Oats,C,2,1992,5,15,2,8,8,3,135,0,1,-1
Документ,Kelloggs,C,3,1992,1,260,9,7,5,3,320,25,1,0.33
Документ,Kelloggs,C,4,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,5,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,6,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,7,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,8,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,9,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,10,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,11,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,12,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,13,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,14,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,15,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,16,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,17,1992,0,140,14,8,0,3,330,25,1,0.5
Документ1s,Kelloggs,C,18,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,19,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,20,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,21,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,22,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,23,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,24,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,25,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,26,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,27,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,28,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,29,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,30,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,31,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,32,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Kelloggs,C,33,1992,0,140,14,8,0,3,330,25,1,0.5
Документ,Ralston Purina,C,1,1993,2,200,1,14,8,3,-1,25,1,0.75
Документ,General Mills,C,2,1993,2,180,1.5,10.5,10,1,70,25,1,0.75
Документ,Kelloggs,C,3,1993,0,140,14,8,0,3,330,25,1,0.5
Документ,Ralston Purina,C,1,1994,2,200,1,14,8,3,-1,25,1,0.75
Документ,General Mills,C,2,1994,2,180,1.5,10.5,10,1,70,25,1,0.75
Документ,Kelloggs,C,1,1995,0,140,14,8,0,3,330,25,1,0.5
Документ,Ralston Purina,C,1,1996,2,200,1,14,8,3,-1,25,1,0.75
Документ,General Mills,C,2,1996,2,180,1.5,10.5,10,1,70,25,1,0.75
Документ,Kelloggs,C,3,1996,0,140,14,8,0,3,330,25,1,0.5
Документ,Ralston Purina,C,4,1996,2,200,1,14,8,3,-1,25,1,0.75
Документ,General Mills,C,1,2014,2,180,1.5,10.5,10,1,70,25,1,0.75
